name,slug,category,common_names,indian_names,botanical_name,region,form,description,grade,status,verification
"Fennel seed","fennel","seeds","","","Foeniculum vulgare","Gujarat|Rajasthan|West Bengal","seeds|powder","Sweet anise-like seeds used as spice and mukhwas.","admin-configured","active","requires_manual_verification"
"Mustard seed","mustard","seeds","","","Brassica juncea / Brassica nigra / Sinapis alba","Rajasthan|Gujarat|Uttar Pradesh|Madhya Pradesh","seeds|powder","Black, brown, or yellow seeds for tadka and pickles. Allergen: mustard.","admin-configured","active","requires_manual_verification"
"Nigella","nigella","seeds","","","Nigella sativa","Uttar Pradesh|Rajasthan|Punjab","seeds","Small black seeds (kalonji), not black cumin.","admin-configured","active","requires_manual_verification"
"Ajwain","ajwain","seeds","","","Trachyspermum ammi","Rajasthan|Gujarat|Madhya Pradesh","seeds","Thyme-like, pungent carom seeds.","admin-configured","active","requires_manual_verification"
"Star anise","star-anise","whole","","","Illicium verum","Northeast India","whole|powder","Star-shaped pods, liquorice aroma; used in garam masala and biryani.","admin-configured","active","requires_manual_verification"
"Indian bay leaf","indian-bay-leaf","leaves","","","Cinnamomum tamala","Uttarakhand|Himachal Pradesh|Sikkim|Northeast India","leaves|whole","Tejpatta — cassia-family leaf, not Mediterranean Laurus nobilis.","admin-configured","active","requires_manual_verification"
"Mace","mace","whole","","","Myristica fragrans (aril)","Kerala","whole|powder","The aril of nutmeg; sold separately from the nutmeg kernel.","admin-configured","active","requires_manual_verification"
"Nutmeg","nutmeg","whole","","","Myristica fragrans","Kerala","whole|powder","Kernel of the nutmeg fruit. UK import controls can apply to nutmeg/mace/cardamom categories.","admin-configured","active","requires_manual_verification"
"Dried ginger","dried-ginger","whole","","","Zingiber officinale","Kerala|Karnataka|Assam|Meghalaya|Odisha","whole|powder","Dried rhizome (sonth), whole or powdered.","admin-configured","active","requires_manual_verification"
"Dried galangal","dried-galangal","whole","","","Alpinia galanga","Northeast India|Kerala","whole|powder","Dried rhizome related to ginger, more camphoraceous.","admin-configured","active","requires_manual_verification"
"Asafoetida","asafoetida","powder","","","Ferula assa-foetida","Himachal Pradesh","powder","Resin spice (hing). Compounded products may contain gluten.","admin-configured","active","requires_manual_verification"
"Amchur","amchur","powder","","","Mangifera indica (dried unripe mango)","Uttar Pradesh|Bihar|Andhra Pradesh","powder|whole","Dried raw mango powder for sourness.","admin-configured","active","requires_manual_verification"
"Tamarind","tamarind","whole","","","Tamarindus indica","Andhra Pradesh|Tamil Nadu|Karnataka|Maharashtra","whole|blend","Sour pulp, block or concentrate.","admin-configured","active","requires_manual_verification"
"Long pepper","long-pepper","whole","","","Piper longum","Western Ghats|Northeast India|West Bengal","whole|powder","Piper longum spikes, hotter and sweeter than black pepper.","admin-configured","active","requires_manual_verification"
"Cubeb","cubeb","whole","","","Piper cubeba","Northeast India","whole","Tailed pepper berries used in some Mughlai and pickling mixes.","admin-configured","active","requires_manual_verification"
"White poppy seed","poppy-seed","seeds","","","Papaver somniferum (culinary seed)","Madhya Pradesh|Rajasthan|Uttar Pradesh","seeds","White poppy seed (posto / khus khus) for thickening gravies.","admin-configured","active","requires_manual_verification"
"Sesame seed","sesame","seeds","","","Sesamum indicum","Gujarat|Rajasthan|Uttar Pradesh|Madhya Pradesh|West Bengal","seeds","White or black sesame. Allergen: sesame.","admin-configured","active","requires_manual_verification"
"Anise seed","anise","seeds","","","Pimpinella anisum","Rajasthan|Uttar Pradesh","seeds","True aniseed, smaller and different from fennel saunf.","admin-configured","active","requires_manual_verification"
"Caraway","caraway","seeds","","","Carum carvi","Himachal Pradesh|Jammu and Kashmir","seeds","Caraway is not cumin; useful comparison page target.","admin-configured","active","requires_manual_verification"
"Dill seed","dill-seed","seeds","","","Anethum graveolens","Rajasthan|Gujarat|Punjab","seeds","Dried dill seed for pickles and some dals.","admin-configured","active","requires_manual_verification"
"Celery seed","celery-seed","seeds","","","Apium graveolens","Punjab|Uttar Pradesh","seeds","Celery seed — EU allergen.","admin-configured","active","requires_manual_verification"
"Dried curry leaf","dried-curry-leaves","leaves","","","Murraya koenigii","Tamil Nadu|Kerala|Karnataka|Andhra Pradesh","leaves","Dried Murraya koenigii leaves for South Indian tempering.","admin-configured","active","requires_manual_verification"
"Dried mint","dried-mint","leaves","","","Mentha spp.","Uttar Pradesh|Punjab|Rajasthan","leaves","Dried mint for raita, chaat, and some rice dishes.","admin-configured","active","requires_manual_verification"
"Dried garlic","dried-garlic","flakes","","","Allium sativum","Madhya Pradesh|Rajasthan|Gujarat","flakes|powder","Dehydrated garlic flakes or powder.","admin-configured","active","requires_manual_verification"
"Kokum","kokum","whole","","","Garcinia indica","Maharashtra|Goa|Karnataka|Kerala","whole","Dried kokum rind, souring agent of the Konkan coast.","admin-configured","active","requires_manual_verification"
"White pepper","white-pepper","whole","","","Piper nigrum (decorticated)","Kerala|Karnataka","whole|powder","Decorticated pepper; different flavour from black pepper.","admin-configured","active","requires_manual_verification"
"Dried red chilli (generic Indian)","dried-red-chilli","whole","","","Capsicum annuum / Capsicum frutescens","Andhra Pradesh|Telangana|Karnataka|Rajasthan|Madhya Pradesh","whole|powder|flakes|crushed","Generic dried red chilli when a named cultivar is not specified.","admin-configured","active","requires_manual_verification"
"Byadgi chilli","byadgi-chilli","whole","","","Capsicum annuum","Karnataka","whole|powder|flakes","Named Indian chilli cultivar: Byadgi chilli.","admin-configured","active","requires_manual_verification"
"Guntur Sannam chilli","guntur-sannam","whole","","","Capsicum annuum","Andhra Pradesh","whole|powder|flakes","Named Indian chilli cultivar: Guntur Sannam chilli.","admin-configured","active","requires_manual_verification"
"Guntur Teja chilli","guntur-teja","whole","","","Capsicum annuum","Andhra Pradesh","whole|powder|flakes","Named Indian chilli cultivar: Guntur Teja chilli.","admin-configured","active","requires_manual_verification"
"S4 chilli","s4-chilli","whole","","","Capsicum annuum","Andhra Pradesh","whole|powder|flakes","Named Indian chilli cultivar: S4 chilli.","admin-configured","active","requires_manual_verification"
"S10 chilli","s10-chilli","whole","","","Capsicum annuum","Andhra Pradesh","whole|powder|flakes","Named Indian chilli cultivar: S10 chilli.","admin-configured","active","requires_manual_verification"
"Resham Patti chilli","resham-patti","whole","","","Capsicum annuum","Madhya Pradesh","whole|powder|flakes","Named Indian chilli cultivar: Resham Patti chilli.","admin-configured","active","requires_manual_verification"
"Mathania chilli","mathania-chilli","whole","","","Capsicum annuum","Rajasthan","whole|powder|flakes","Named Indian chilli cultivar: Mathania chilli.","admin-configured","active","requires_manual_verification"
"Jwala chilli","jwala-chilli","whole","","","Capsicum annuum","Gujarat","whole|powder|flakes","Named Indian chilli cultivar: Jwala chilli.","admin-configured","active","requires_manual_verification"
"Sankeshwari chilli","sankeshwari-chilli","whole","","","Capsicum annuum","Maharashtra","whole|powder|flakes","Named Indian chilli cultivar: Sankeshwari chilli.","admin-configured","active","requires_manual_verification"
"Mundu chilli","mundu-chilli","whole","","","Capsicum annuum","Tamil Nadu","whole|powder|flakes","Named Indian chilli cultivar: Mundu chilli.","admin-configured","active","requires_manual_verification"
"Ramnad Mundu chilli","ramnad-mundu","whole","","","Capsicum annuum","Tamil Nadu","whole|powder|flakes","Named Indian chilli cultivar: Ramnad Mundu chilli.","admin-configured","active","requires_manual_verification"
"Kanthari chilli","kanthari-chilli","whole","","","Capsicum annuum","Kerala","whole|powder|flakes","Named Indian chilli cultivar: Kanthari chilli.","admin-configured","active","requires_manual_verification"
"Bhut Jolokia","bhut-jolokia","whole","","","Capsicum annuum","Assam|Northeast India","whole|powder|flakes","Named Indian chilli cultivar: Bhut Jolokia.","admin-configured","active","requires_manual_verification"
"Boria chilli","boria-chilli","whole","","","Capsicum annuum","Gujarat","whole|powder|flakes","Named Indian chilli cultivar: Boria chilli.","admin-configured","active","requires_manual_verification"
"Dhani chilli","dhani-chilli","whole","","","Capsicum annuum","Rajasthan","whole|powder|flakes","Named Indian chilli cultivar: Dhani chilli.","admin-configured","active","requires_manual_verification"
"Salem chilli","salem-chilli","whole","","","Capsicum annuum","Tamil Nadu","whole|powder|flakes","Named Indian chilli cultivar: Salem chilli.","admin-configured","active","requires_manual_verification"
"Wonder Hot chilli","wonder-hot-chilli","whole","","","Capsicum annuum","Andhra Pradesh","whole|powder|flakes","Named Indian chilli cultivar: Wonder Hot chilli.","admin-configured","active","requires_manual_verification"
"Longi chilli","longi-chilli","whole","","","Capsicum annuum","Rajasthan","whole|powder|flakes","Named Indian chilli cultivar: Longi chilli.","admin-configured","active","requires_manual_verification"
"Tomato chilli","tomato-chilli","whole","","","Capsicum annuum","Karnataka","whole|powder|flakes","Named Indian chilli cultivar: Tomato chilli.","admin-configured","active","requires_manual_verification"
"Round chilli","round-chilli","whole","","","Capsicum annuum","Tamil Nadu","whole|powder|flakes","Named Indian chilli cultivar: Round chilli.","admin-configured","active","requires_manual_verification"
"Garam Masala","garam-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Garam Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Chaat Masala","chaat-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Chaat Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Biryani Masala","biryani-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Biryani Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Tandoori Masala","tandoori-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Tandoori Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Chicken Masala","chicken-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Chicken Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Meat Masala","meat-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Meat Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Fish Masala","fish-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Fish Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Curry Masala","curry-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Curry Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Kitchen King","kitchen-king","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Kitchen King. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Chole Masala","chole-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Chole Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Rajma Masala","rajma-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Rajma Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Pav Bhaji Masala","pav-bhaji-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Pav Bhaji Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Sambar Masala","sambar-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Sambar Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Rasam Powder","rasam-powder","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Rasam Powder. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Madras Curry Powder","madras-curry-powder","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Madras Curry Powder. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Vindaloo Masala","vindaloo-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Vindaloo Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Korma Masala","korma-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Korma Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Butter Chicken Masala","butter-chicken-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Butter Chicken Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Tikka Masala","tikka-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Tikka Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Chettinad Masala","chettinad-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Chettinad Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Goda Masala","goda-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Goda Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Kolhapuri Masala","kolhapuri-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Kolhapuri Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Malvani Masala","malvani-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Malvani Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Panch Phoron","panch-phoron","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Panch Phoron. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Pickle Masala","pickle-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Pickle Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Tea Masala","tea-masala","blend","","","","Maharashtra|Tamil Nadu|Punjab|West Bengal","blend|powder","Indian spice blend: Tea Masala. Ingredients must be listed before sale.","admin-configured","active","requires_manual_verification"
"Dried fenugreek leaves","fenugreek-leaves","leaves","","","Trigonella foenum-graecum","Rajasthan|Gujarat","leaves","Dried fenugreek leaves","admin-configured","active","requires_manual_verification"
"Dried coriander leaves","dried-coriander-leaves","leaves","","","Coriandrum sativum","Rajasthan|Gujarat","leaves","Dried coriander leaves","admin-configured","active","requires_manual_verification"
